Date,Open,High,Low,Close,Adj Close,Volume
2.1.2015,8288.700195,8410.599609,8288.700195,8395.450195,8395.450195,101900
5.1.2015,8407.950195,8445.599609,8363.900391,8378.400391,8378.400391,118200
6.1.2015,8325.299805,8327.849609,8111.350098,8127.350098,8127.350098,172800
7.1.2015,8118.649902,8151.200195,8065.450195,8102.100098,8102.100098,164100
8.1.2015,8191.399902,8243.5,8167.299805,8234.599609,8234.599609,143800
9.1.2015,8285.450195,8303.299805,8190.799805,8284.5,8284.5,148000
12.1.2015,8291.349609,8332.599609,8245.599609,8323,8323,103200
13.1.2015,8346.150391,8356.650391,8267.900391,8299.400391,8299.400391,129600
14.1.2015,8307.25,8326.450195,8236.650391,8277.549805,8277.549805,146100
15.1.2015,8424.5,8527.099609,8380.549805,8494.150391,8494.150391,232100
16.1.2015,8504.049805,8530.75,8452.25,8513.799805,8513.799805,176000
19.1.2015,8550.049805,8570.950195,8531.5,8550.700195,8550.700195,125400
20.1.2015,8575.099609,8707.900391,8574.5,8695.599609,8695.599609,158700
21.1.2015,8719.650391,8741.849609,8689.599609,8729.5,8729.5,185900
22.1.2015,8745.849609,8774.150391,8727,8761.400391,8761.400391,175500
23.1.2015,8827.950195,8866.400391,8795.400391,8835.599609,8835.599609,191200
27.1.2015,8871.349609,8925.049805,8825.450195,8910.5,8910.5,192000
28.1.2015,8902.75,8985.049805,8874.049805,8914.299805,8914.299805,185100
29.1.2015,8901.5,8966.650391,8861.25,8952.349609,8952.349609,256300
30.1.2015,8996.599609,8996.599609,8775.099609,8808.900391,8808.900391,267300
2.2.2015,8802.5,8840.799805,8751.099609,8797.400391,8797.400391,210100
3.2.2015,8823.150391,8837.299805,8726.650391,8756.549805,8756.549805,208700
4.2.2015,8789.150391,8792.849609,8704.400391,8723.700195,8723.700195,195300
5.2.2015,8733.099609,8838.450195,8683.650391,8711.700195,8711.700195,173600
6.2.2015,8696.849609,8726.200195,8645.549805,8661.049805,8661.049805,171300
9.2.2015,8584.400391,8605.549805,8516.349609,8526.349609,8526.349609,146800
10.2.2015,8478.099609,8646.25,8470.5,8565.549805,8565.549805,196200
11.2.2015,8603.299805,8651.950195,8593.650391,8627.400391,8627.400391,161600
12.2.2015,8676.950195,8732.549805,8599.25,8711.549805,8711.549805,158800
13.2.2015,8741.5,8822.099609,8729.650391,8805.5,8805.5,221900
16.2.2015,8831.400391,8870.099609,8793.400391,8809.349609,8809.349609,136400
18.2.2015,8811.549805,8894.299805,8808.900391,8869.099609,8869.099609,147600
19.2.2015,8883.049805,8913.450195,8794.450195,8895.299805,8895.299805,213300
20.2.2015,8895.5,8899.950195,8816.299805,8833.599609,8833.599609,197600
23.2.2015,8856.849609,8869,8736.099609,8754.950195,8754.950195,139600
24.2.2015,8772.900391,8800.5,8726.75,8762.099609,8762.099609,149800
25.2.2015,8801.900391,8840.650391,8751.400391,8767.25,8767.25,135200
26.2.2015,8779,8786.049805,8669.450195,8683.849609,8683.849609,217500
27.2.2015,8729.5,8856.950195,8717.450195,8844.599609,8844.599609,249500
28.2.2015,null,null,null,null,null,null
2.3.2015,8953.849609,8972.349609,8885.450195,8956.75,8956.75,218100
3.3.2015,8962.849609,9008.400391,8925.549805,8996.25,8996.25,177800
